time	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2	 Pao	 Fip	 Fop	 stateP
0	 1.984032000000001	 0.11952063999999929	 0.11952063999999929	 0	 2.505976032	 0.005976032000000002	 0	 0.005976032000000002	 0.005976032000000002	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.003	 1.9603187225579521	 0.237612761661401	 0.237612761661401	 0	 2.51188063808307	 0.011880638083069953	 0	 0.011880638083069953	 0.011880638083069953	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.006	 1.936888867725541	 0.35429343872680263	 0.35429343872680263	 0	 2.51771467193634	 0.017714671936340264	 0	 0.017714671936340264	 0.017714671936340264	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.009000000000000001	 1.9137390480175984	 0.469579540872358	 0.469579540872358	 0	 2.523478977043618	 0.02347897704361812	 0	 0.02347897704361812	 0.02347897704361812	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.012	 1.8908659164363932	 0.5834877361467594	 0.5834877361467594	 0	 2.529174386807338	 0.02917438680733827	 0	 0.02917438680733827	 0.02917438680733827	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.015	 1.8682661659877269	 0.6960344933811236	 0.6960344933811236	 0	 2.534801724669056	 0.034801724669056205	 0	 0.034801724669056205	 0.034801724669056205	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.018	 1.845936529202806	 0.8072360845700288	 0.8072360845700288	 0	 2.5403618042285014	 0.04036180422850127	 0	 0.04036180422850127	 0.04036180422850127	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.020999999999999998	 1.8238737776658347	 0.9171085872241403	 0.9171085872241403	 0	 2.545855429361207	 0.04585542936120675	 0	 0.04585542936120675	 0.04585542936120675	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.023999999999999997	 1.8020747215472515	 1.0256678866946878	 1.0256678866946878	 0	 2.5512833943347344	 0.051283394334734125	 0	 0.051283394334734125	 0.051283394334734125	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.026999999999999996	 1.7805362091425359	 1.1329296784701715	 1.1329296784701715	 0	 2.5566464839235086	 0.05664648392350814	 0	 0.05664648392350814	 0.05664648392350814	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.029999999999999995	 1.7592551264165461	 1.2389094704456038	 1.2389094704456038	 0	 2.56194547352228	 0.061945473522279394	 0	 0.061945473522279394	 0.061945473522279394	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.032999999999999995	 1.7382283965532874	 1.3436225851646275	 1.3436225851646275	 0	 2.5671811292582314	 0.0671811292582308	 0	 0.0671811292582308	 0.0671811292582308	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.036	 1.7174529795110658	 1.4470841620348907	 1.4470841620348907	 0	 2.5723542081017445	 0.07235420810174414	 0	 0.07235420810174414	 0.07235420810174414	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.039	 1.696925871582959	 1.549309159516863	 1.549309159516863	 0	 2.577465457975843	 0.07746545797584278	 0	 0.07746545797584278	 0.07746545797584278	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.042	 1.676644104962545	 1.6503123572865253	 1.6503123572865253	 0	 2.5825156178643263	 0.0825156178643262	 0	 0.0825156178643262	 0.0825156178643262	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.045000000000000005	 1.6566047473148107	 1.7501083583722465	 1.7501083583722465	 0	 2.5875054179186123	 0.08750541791861223	 0	 0.08750541791861223	 0.08750541791861223	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.04800000000000001	 1.6368049013521997	 1.8487115912660457	 1.8487115912660457	 0	 2.5924355795633023	 0.09243557956330221	 0	 0.09243557956330221	 0.09243557956330221	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.05100000000000001	 1.6172417044157257	 1.946136312009683	 1.946136312009683	 0	 2.597306815600484	 0.09730681560048454	 0	 0.09730681560048454	 0.09730681560048454	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.05400000000000001	 1.5979123280610796	 2.0423966062558208	 2.0423966062558208	 0	 2.602119830312791	 0.10211983031279136	 0	 0.10211983031279136	 0.10211983031279136	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.057000000000000016	 1.5788139776497054	 2.1375063913044645	 2.1375063913044645	 0	 2.6068753195652232	 0.10687531956522374	 0	 0.10687531956522374	 0.10687531956522374	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.06000000000000002	 1.5599438919447426	 2.2314794181151854	 2.2314794181151854	 0	 2.6115739709057593	 0.11157397090575974	 0	 0.11157397090575974	 0.11157397090575974	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.06300000000000001	 1.5412993427118078	 2.3243292732952003	 2.3243292732952003	 0	 2.61621646366476	 0.11621646366475998	 0	 0.11621646366475998	 0.11621646366475998	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.06600000000000002	 1.5228776343245567	 2.4160693810637035	 2.4160693810637035	 0	 2.620803469053185	 0.12080346905318508	 0	 0.12080346905318508	 0.12080346905318508	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.06900000000000002	 1.5046761033749405	 2.5067130051927933	 2.5067130051927933	 0	 2.6253356502596397	 0.1253356502596394	 0	 0.1253356502596394	 0.1253356502596394	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.07200000000000002	 1.4866921182881345	 2.596273250925094	 2.596273250925094	 0	 2.6298136625462547	 0.12981366254625457	 0	 0.12981366254625457	 0.12981366254625457	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.07500000000000002	 1.4689230789420584	 2.684763066868552	 2.684763066868552	 0	 2.6342381533434276	 0.13423815334342734	 0	 0.13423815334342734	 0.13423815334342734	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.07800000000000003	 1.4513664162914655	 2.7721952468685007	 2.7721952468685007	 0	 2.638609762343425	 0.13860976234342487	 0	 0.13860976234342487	 0.13860976234342487	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.08100000000000003	 1.434019591996499	 2.858582431857437	 2.858582431857437	 0	 2.642929121592872	 0.14292912159287147	 0	 0.14292912159287147	 0.14292912159287147	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.08400000000000003	 1.416880098055703	 2.9439371116825974	 2.9439371116825974	 0	 2.64719685558413	 0.14719685558412968	 0	 0.14719685558412968	 0.14719685558412968	 0	 0	 0	 10	 undefined	 undefined	 undefined
0.08700000000000004	 1.3999454564434153	 3.0282716269117937	 3.0282716269117937	 0	 2.6514135813455897	 0.15141358134558938	 0	 0.15141358134558938	 0.15141358134558938	 0	 0	 0	 10	 undefined	 undefined	 undefined
